Year,Location,Avg Min Temp *F,Yr Rain inches,Heat Wave,Dry Spell,Cold Wave,Wet Spell
1980,Andersonport,68.18,27.128,N,N,Y,N
1980,Williamhaven,73.4,24.2866,N,N,Y,N
1980,Josephfurt,70.52,45.8524,N,N,N,N
1981,Andersonport,68.0,32.0374,N,n,Y,N
1981,Williamhaven,74.12,22.2898,N,N,N,N
1981,Josephfurt,69.80000000000001,51.1532,N,N,N,N
1982,Andersonport,68.9,27.4854,N,N,Y,N
1982,Williamhaven,73.75999999999999,27.1445,N,N,Y,n
1982,Josephfurt,70.16,49.2087,N,N,N,N
1983,Andersonport,67.82,32.0,N,N,Y,N
1983,Williamhaven,73.94,23.6799,N,N,Y,N
1983,Josephfurt,69.98,44.2835,N,N,N,N
1984,Andersonport,68.36,30.7024,N,N,Y,N
1984,Williamhaven,73.75999999999999,26.9717,N,N,Y,n
1984,Josephfurt,69.62,53.0918,N,N,N,N
1985,Williamhaven,73.75999999999999,28.2776,N,N,Y,N
1985,Josephfurt,70.52,51.6973,N,N,0,N
1985,Andersonport,69.08000000000001,37.5622,N,N,Y,N
1986,Josephfurt,70.16,55.1587,N,no,N,N
1986,Andersonport,68.72,38.3984,N,N,Y,N
1986,Williamhaven,74.12,26.7036,N,N,Y,N
1987,Josephfurt,70.52,55.1977,N,N,N,N
1987,Andersonport,68.9,35.4366,N,N,Y,N
1987,Williamhaven,73.4,26.5689,N,N,Y,N
1988,Josephfurt,70.34,54.2768,N,N,N,N
1988,Andersonport,68.72,38.3642,N,N,Y,N
1988,Williamhaven,74.66,26.5728,N,N,N,N
1989,Josephfurt,71.06,54.7036,N,N,N,N
1989,Andersonport,69.98,38.9839,N,N,N,N
1989,Williamhaven,74.30000000000001,28.8162,N,N,Y,N
1990,Josephfurt,71.06,52.7595,N,N,N,N
1990,Williamhaven,73.75999999999999,27.3024,N,N,Y,N
1990,Andersonport,68.9,40.0288,N,N,Y,N
1991,Williamhaven,73.94,26.6536,N,N,Y,N
1991,Josephfurt,70.52,55.7217,N,N,N,N
1991,Andersonport,69.44,45.5788,N,N,N,N
1992,Williamhaven,74.48,31.4906,N,N,N,N
1992,Josephfurt,70.88,56.5445,N,N,N,N
1992,Andersonport,69.25999999999999,46.4922,N,N,N,N
